have (had; had )|иметь; получать; быть должным  
straighten|выпрямлять(ся); приводить в порядок; исправлять(ся) 
jeep|авт. джип 
activity|деятельность
dusk|сумерки 
skip|прыжок, скачок; прыгать, скакать; пропускать 
locate|определять местонахождение; располагать; размещать
driveway|дорога, проезд
motor|мотор; двигатель
wallet|бумажник 
gentle|мягкий; нежный
package|сверток; пакет
sleeve|рукав; втулка; муфта
collar|воротник; ожерелье
rag|1) тряпка, лоскут; 2) жарг. скандал; дразнить
opportunity|удобный случай; благоприятная возможность
curl|локон, завиток; виться; завивать(ся) 
drill|1) сверло; сверлить; 2) тренировка; тренировать 
tightly|прочно; напряженно; строго; крепко 
seventy|семьдесят
hero|герой 
poke|совать, толкать, тыкать; разг. ударить кулаком 
breeze|легкий ветерок, бриз
market|рынок; торговля; торговать
friendly|дружеский 
teacher|учитель 
slice|ломтик (хлеба, мяса и т.п.); часть, доля; резать ломтями
wildly|дико; буйно 
shaft|древко (копья и т.п.); стрела; копье; луч (света) и др. 
rescue|спасение; спасать
cabinet|сервант; шкафчик; устн. кабинет; будуар 
downstairs|вниз (по лестнице); внизу; в нижнем этаже
innocent|невиновный
belly|живот 
ankle|лодыжка, щиколотка
marshal(l)|воен. маршал; амер. судебный исполнитель 
scientist|ученый 
reverse|противоположное; противоположный; поворачивать обратно 
aturday|суббота 
material|материал; ткань, материя; материальный
knot|узел; завязывать, связывать
shudder|дрожь; содрагание; вздрагивать; содрагаться 
reality|действительность
mood|настроение 
rent|арендная плата; арендовать; сдавать в аренду
whoever|кто бы ни; любой
investigation|расследование; исследование (научное); изучение
tent|палатка 
theatre|бр. = theater ам. (1:1,4)
farm|ферма 
knight|рыцарь 
honest|честный 
dumb|немой; бессловесный; сленг: глупый, тупой 
research|исследование
limp|1) хромота; хромать; 2) мягкий, нежный; вялый 
fling (flung; flung )|бросать, метать, швырять; ринуться
winter|зима 
percent|амер. шк. разг. выводить отметку на письм. экзамене
appearance|появление
depend|зависеть 
bean|боб  
sharply|резко 
cord|веревка, шнур 
nightmare|кошмар; страшный сон; перен. ужас 
tilt|наклон; наклонять(ся); опрокидывать, выворачивать 
amount|количество; сумма
dot|точка; пятнышко; крошка; ставить точки; усеивать
fuel|топливо, горючее; заправлять топливом 
neighbo(u)rhood|соседство, близость; район, округ 
speech|речь, выступление
stall|стойло; ларек; прилавок; ставить в стойло; отводить место
progress|прогресс, развитие, успехи; развиваться 
torch|факел; фонарик; освещать факелами 
tool|(рабочий) инструмент; перен. орудие 
sandwich|сандвич 
cart|телега; повозка 
statement|заявление; утверждение 
shave|бритье; (shaved; shaved, shaven) брить(ся)
handsome|красивый 1.102 1981  nut орех; жарг. башка, "котелок"; псих, чокнутый (чаще ~s)
channel|пролив; канал (тж. перен., напр. TV) 
furious|взбешенный, яростный; неистовый 
lightning|молния 
route|маршрут, путь, курс
relieve|облегчать;
pillow|подушка 
aunt|тетя 
halfway|на полпути
invite|приглашать 
somewhat|отчасти, до некоторой степени, несколько
bullshit|разг. чушь, ерунда
request|просьба; просить
proper|правильный; подходящий; присущий, свойственный 
plunge|нырять, окунать(ся)
contract|договор; заключать договор 
desperate|отчаянный; безнадежный; ужасный 
footstep|шаг; ~s шаги
truly|правдиво, искренне
rubber|резина; ластик 
wagon|повозка; фургон
rocket|ракета; выпускать ракету; взлетать 
fighter|боец, борец 
tug|тянуть с усилием; дергать изо всех сил 
item|(отдельный) предмет, вещь (из списка); пункт, параграф
embrace|объятие; объятия; обнимать(ся)
lover|любитель; любовник, возлюбленный; ~s влюбленная парочка
brilliant|блестящий 
waitress|официантка
splash|брызги, плеск; брызгать(ся), плескать(ся) 
structure|сооружение, строение; структура, устройство 
desperately|отчаянно; безнадежно; крайне, очень 
poison|яд; отравлять
flood|наводнение; поток; затоплять; наводнять
asshole|руг. задница
peel|кожура, корка; снимать кожуру; облезать (о краске, коже) 
according|~ to согласно, в соответствии с 
blaze|пламя; перен. вспышка; пылать, гореть (тж. перен.) 
goodbye|до свидания!; прощай(те)! 
height|высота; вершина; рост (чел. и т.д.); высшая степень
swirl|кружение, водоворот; кружить(ся) в водовороте; обвивать
retreat|отступление, убежище, приют; отступать, уходить
insert|вставлять 
streak|полоска; жилка; проводить полосы; разг. мелькать 
pure|чистый; без примеси
technician|техник 
shore|берег (моря, озера)
prefer|предпочитать
wade|брод; переходить вброд; пробиваться, преодолевать
underneath|под;вниз; внизу; снизу 
darling|дорогой, любимый
amber|янтарь 
introduce|вводить; представлять, знакомить 
closely|близко, тесно
milk|молоко; доить 
theory|теория 
lid|крышка, колпак; веко
walker|ходок, тот кто идет, гуляет и т.п. 
sword|меч; шпага 
circumstance|обстоятельство; обычно употр. во мн. ч. ~s
measure|мера, мерка; измерять, мерить 
penny|1) брит. пенни, пенс; мн. ч.: pence (о сумме), pennies (об отд. монетах); 2) амер. монета в один цент
pierce|пронзать, протыкать, прокалывать; проникать 
dragon|дракон 
fog|густой туман; мгла; затуманивать(ся) 
console|утешать 
definitely|определенно
cling (clung; clung )|цепляться; прилипать; облегать (о платье)
inner|внутренний 
forgive (forgave ; forgiven|[fq'gIvn]) прощать 
remark|замечание; замечать, отмечать 
stab|закалывать; наносить удар (ножом и т.п.) 
harbour|бр. = harbor ам. (1:6) порт, гавань; убежище, приют 
calmly|тихо, спокойно
dash|рывок; тире, черточка; бросаться, мчаться 
commit|совершать (чаще дурное); поручать, вверять; подвергать
hawk|ястреб 
develop|развивать(ся
wedding|свадьба; венчание
gleam|слабый свет, проблеск; светиться, мерцать 
spell|(бр. spelt, ам. spelled) писать или произносить слово по буквам; spelling также правописание, орфография 
instrument|инструмент;
horizon|горизонт 
mud|грязь 
threat|угроза 
aboard|на борту; в вагоне; на борт; в вагон 
instruction|обучение; чаще: ~s инструкции, указания
spare|экономить; беречь; уделять; запасной, лишний 
silly|глупый 
pig|свинья 
toilet|туалет, уборная 
operator|оператор
seriously|серьезно
communication|сообщение; связь; ~s средства связи
vampire|вампир 
gene|биол. ген 
candle|свеча 
toy|игрушка 
estate|имущество, состояние; поместье; сословие 
marriage|женитьба, замужество, брак; свадьба 
complex|комплекс; сложный
passage|проход, проезд; коридор; отрывок (из книги и т.п.) 
crane|журавль; подъемный кран; вытягивать (шею); подним. краном
drum|барабан; бить в барабан; стучать, барабанить (пальцами) 
overlook|возвышаться над; смотреть сверху на
favourite|бр. = favorite ам. (1:7) любимец; любимый 
chill|холод; простуда; холодный; охлаждать
desire|(сильное) желание; желать, хотеть 
score|зарубка, метка; счет; делать метки; вести счет (в игре) 
executive|исполнительная власть; администратор; амер. служащий; правительственный 
mental|умственный 
loudly|громко 
loss|потеря; утрата; ущерб
link|звено (цепи); перен. связующ. звено; связь; соединять, связывать
sway|качать(ся)
deny|отрицать, отвергать; отказывать(ся)
steer|управлять (судном, авт. и т.п.); направлять
purple|пурпурный; фиолетовый, лиловый 
jeans|джинсы 
armour|бр. = armor ам. (1:10) доспехи; броня; покрывать броней
squint|косить (глазами); смотреть украдкой, коситься; щуриться
firmly|твердо; крепко
expensive|дорогой, дорогостоящий 
skirt|юбка; ~s пола; подол; идти по границе, окружать, окаймлять
hop|прыжок; прыгать
liquid|жидкость; жидкий
stiff|тугой; перен. напряженный; разг. вексель; босяк; зануда и др.
cowboy|ковбой 
sale|продажа, распродажа
arrow|стрела 
nasty|отвратительный, противный 
aisle|проход (между рядами в театре и т.п.)
windshield|щит от ветра
darken|затемнять; омрачать; темнеть 
siren|сирена (мифол.); сирена (сигнал) 
transfer|перемещение; перевод; перемещать
sniff|сопеть, фыркать; нюхать, обнюхивать 
sofa|софа, диван 
career|карьера, успех
navy|военно-морской флот
palace|дворец 
treasure|сокровище 
warrior|воин 
cream|сливки, крем; снимать сливки 
amuse|забавлять, развлекать
dangle|свободно висеть; болтаться; волочиться
escort|охрана; сопровождение; сопровождать 
coin|монета 
dean|декан; настоятель 
meal|еда; принятие пищи 
furniture|мебель
flush|краска, румянец (на лице); вспыхнуть, (по)краснеть 
bubble|пузырь(ок); дутое предприятие; пузыриться; кипеть 
famous|знаменитый 
twin|близнец; двойник 
insurance|страхование
soak|промачивать; пропитывать; впитывать 
ednesday|среда 
exterior|внешность, наружность; внешний, наружный 
shepherd|пастух; религ. пастырь
afford|иметь возможность; предоставлять, давать 
charm|обаяние, очарование; очаровывать 
ourselves|себя; сами
alert|тревога; бдительный; объявлять тревогу 
pride|гордость; предмет гордости; спесь, гордыня 
screenplay|сценарий 
filter|фильтр; фильтровать
freedom|свобода 
hover|парить, зависать (птица, самолет, облако); вертеться 
brake|тормоз; тормозить
establish|основывать, учреждать; создавать; укреплять 
outer|внешний, наружный
flee (fled; fled)|бежать, убегать, спасаться бегством 
university|университет
angrily|сердито, гневно
pill|пилюля 
rank|ряд, шеренга; звание, чин; категория; классифицировать 
silk|шелк; шелковый 
regular|регулярный; правильный; обычный 
screech|визжать; скрежетать
document|документ 
harm|вред, ущерб; вредить
statue|статуя 
spark|искра; искриться 
thigh|бедро 
eighty|восемьдесят 
due|должный; обязанный 
carve|вырезать, высекать 
blur|пятно; помутнение; пачкать; затуманивать 
conceal|скрывать
idiot|идиот 
mystery|тайна
slave|раб  
midnight|полночь 
guilty|виноватый, виновный
hut|хижина, лачуга  
ninety|девяносто 
sue|возбуждать дело; судиться
represent|представлять
remote|дальний, отдаленный; уединенный; маловероятный 
plus|плюс 
bruise|ушиб; ушибать 
clay|глина 
relationship|отношение, взаимоотношение; связь; родство 
neighbour|бр. = neighbor ам. (1:10) сосед, соседка  
tension|напряженность 
standard|стандарт, норма; образец; стандартный, типовой 
individual|личность, человек; личный, индивидуальный 
extremely|крайне, очень
accent|ударение; акцент; акцентировать 
toe|палец (на ноге); носок (башмака) 
affair|дело 
illuminate|освещать 
bust|1) бюст (скульпт.; женск.); 2) амер. халтура; взломать
swarm|толпа; толпиться
hurl|швырять; валить 
casually|случайно
medium|1) (мн. ч. media) средство, способ; media средства (информ. и т.п.); 2) средний 
melt|таять; плавить(ся)
access|доступ; подход 
impression|впечатление 
uncomfortable|неудобный 
perform|выполнять, совершать; играть, исполнять (роль и т.п.)
unconscious|не сознающий, бессознательный 
locker|(запирающийся) шкафчик, ящик (в раздевалке и т.п.) 
speaker|оратор; спикер 
visitor|посетитель, гость 
laser|лазер 
personally|лично, сам 
anxious|озабоченный; стремящийся (к), сильно желающий 
deserve|заслуживать 
unusual|необыкновенный
delight|удовольствие; доставлять наслаждение; восхищать
root|корень; перен. причина; укореняться; перен. внедрять(ся) 
proceed|продолжать(ся); возобновлять; происходить 
servant|слуга; прислуга
dish|блюдо (посуда); блюдо (кушанье); ~es посуда 
federal|федеральный
frantically|неистово
robe|халат, мантия 
whirl|вертеть(ся)
horrible|ужасный 
fumble|нащупывать, шарить; неловко обращаться (с) 
headlight|фара (автомобиля)
probe|исследовать 
invisible|невидимый 
etc|и т. д.; и т. п. 
tile|черепица; кафель; плитка; крыть черепицей, кафелем 
pleasant|приятный, милый 
mist|(легкий) туман; дымка
snarl|рычание; рычать 
staircase|лестница; лестничный марш 
balcony|балкон 
divorce|развод; разводиться
tourist|турист
joker|шутник; джокер (карт.) 
pole|1) столб; 2) полюс 
column|колонна; столб(ик)
confidence|доверие 
lad|парень, юноша 
tighten|сжимать(ся)
period|период, время
rob|грабить, обкрадывать 
fake|подделка, фальшивка; подделывать 
district|район, округ
curb|узда; сдерживание; обочина, край тротуароа 
pulse|пульс; биение; ритм; пульсировать 
expert|знаток, эксперт; опытный, знающий 
routine|заведенный порядок; рутина, шаблон 
terminal|конец; конечная станция; конечный 
neat|аккуратный; чистый
hers|её
flag|флаг
border|граница; граничить
society|  общество; объединение, ассоциация 
tour|поездка; турне; совершать путешествие 
rid (rid; rid)|избавлять(ся
winder|разг. сильный удар; нечто, захватывающее дух 
inform|информировать
violet|фиалка; фиолетовый
batter|сильно бить, колотить; разбиваться; биться 
silhouette|силуэт; вырисовываться (на фоне чего-л.) 
science|наука 
agency|агентство
grind (ground; ground )|молоть, толочь; шлифовать; разг. зубрить
doll|кукла; амер. разг. девушка
associate|соединять(ся 
minister|министр
former|прежний, бывший
incredible|невероятный
lunge|выпад, прыжок вперед; делать выпад, бросок вперед 
slump|резкое или внезапное падение; внезапно падать 
cautiously|осторожно
scrape|скоблить, скрести 
ill|больной, нездоровый 
headquarters|штаб; ставка, штаб-квартира 
pal|товарищ, приятель 
arch|арка, свод; дуга; перекрывать сводом; выгибать
dull|тусклый; тупой; скучный; утомлять; затуплять 
gale|сильный ветер, шторм
maintain|поддерживать
annoy|надоедать; раздражать
tune|мелодия; настраивать
hick|презр. провинциал, деревенщина 
schedule|расписание, график; составлять расписание; планировать
witch|колдунья, ведьма 
depth|глубина (тж. перен.)
skill|мастерство, искусство; талант, способности
hush|тишина; водворять тишину; заст. замолчать; Hush! Тише! 
lounge|гостиная; холл
coffin|гроб 
downward(s)|вниз
sneak|трус; красться; ускользать; школ. ябедничать 
crap|руг. глупость, вздор 
reflection|отражение; отблеск; размышление, раздумье 
robot|робот 
cargo|груз (судна, самолета)
alongside|рядом
log|бревно; полено; мор. лаг; работать на лесозаготовках
ambulance|машина скор. помощи; врачебный пункт 
exercise|упражнение; тренировка; упражнять(ся)
bartender|бармен, буфетчик 
hollow|пустота; яма; низина; полый;вогнутый;разг. полностью; делать полость; делать вогнутым 
advice|совет, советы 
argument|аргумент 
resume|возобновлять; брать обратно; резюме 
casino|казино 
rib|ребро 
native|уроженец; коренной житель; родной; местный 
attendant|служитель (в музее, театре и т.п.) 
habit|привычка; обычай 
confirm|подтверждать 
mumble|бормотать
senior|старший; пожилой человек; старший 
sprawl|растянуться; сидеть развалясь; раскидываться
excitement|возбуждение
bureau|бюро, комитет 
refer|отсылать; обращаться; ссылаться; иметь отношение 
spider|паук 
lightly|слегка; без усилий 
flap|махать, колыхать(ся)
trash|отбросы, хлам; разг. вздор, чушь, дрянь; очищать от мусора
attitude|позиция; отношение к
violently|неистово,
explanation|объяснение
shelter|приют, кров; укрытие; давать приют; укрывать(ся) 
engage|нанимать; занимать(ся)
throughout|через; повсюду, везде; в течение всего времени 
chunk|ломоть, большой кусок; крупная глыба; толстяк, толстуха
wreck|кораблекрушение; перен. крах; разрушать 
courtyard|внутренний двор (замка и т.п.) 
assault|нападение; штурм; нападать; штурмовать 
weep (wept; wept)|плакать, рыдать; запотевать (стекло и т.п.)
wink|моргать, мигать
riday|пятница 
hint|намек; намекать 
freak|причуда, каприз; урод, посмешище; капризничать
advantage|преимущество; выгода, польза 
wise|мудрый; разумный; амер. разг. осведомленный; заносчивый 
prop|подпирать
fleet|флот; флотилия; бухта, залив, ручей; быстро протекать
whenever|всякий раз когда; когда бы ни 
huddle|прижиматься друг к
crate|ящик, контейнер 
deadly|смертельный 
impact|удар, столкновение; воздействие; плотно сжимать 
studio|студия
unknown|неизвестный 
pearl|жемчуг, жемчужина 
hull|пустой стручок; кожура, шелуха; кузов, каркас, корпус, фюзеляж
recently|недавно
weekend|суббота и воскресенье; конец недели, уикенд 
scale|шкала; масштаб; ~s весы; взбираться 
sequence|последовательность, ряд; последствие 
outta|= out of вне, за пределами чего-л.
bandage|бинт, повязка; бинтовать, перевязывать 
shame|стыд, позор; a ~ разг. обида, жалость; стыдить
urge|побуждение, сильное желание; побуждать, убеждать
baseball|бейсбол 
chopper|нож (мясника); колун; сечка; билетный контролер 
spy|(мн. ч. spies) шпион; шпионить, следить 
onday|понедельник 
intense|сильный; интенсивный, напряженный 
accompany|сопровождать, провожать; аккомпанировать 
torture|пытка; пытать
birthday|день рождения 
champagne|шампанское
suspicious|подозрительный 
assassin|убийца (наемный)
sentence|предложение; приговор; осуждать, приговаривать 
fifth|пятый 
lonely|одинокий
zip|застежка-молния; застегивать(ся) на молнию 
proof|доказательство; испытание, проба; непроницаемый
microphone|микрофон
attractive|привлекательный, притягательный 
political|политический 
aid|помощь; помогать 
stamp|штамп; марка; ставить штамп, печать
piano|фортепьяно, рояль
admire|восхищаться; любоваться 
fairly|честно, справедливо; довольно; весьма; ясно 
cute|прелестный, умный 
property|собственность, имущество; свойство, качество 
wail|вопль; вой; громкий плач; вопить, выть 
naturally|естественно; конечно, разумеется 
pencil|карандаш 
regret|сожаление; раскаяние; сожалеть; раскаиваться 
shed|сарай, навес
holly|уст. = wholly полностью, целиком, вполне 
citizen|гражданин, гражданка; горожанин, горожанка 
clever|умный, способный
downtown|амер. в деловой части города, в центре 
handkerchief|носовой платок
ramp|скат, уклон; пандус; рампа; место стоянки, причал 
fortune|удача; счастье
lung|анат. лёгкое;  ~s голос 
article|статья; артикль
eighteen|восемнадцать 
apply|прикладывать; обращаться (к, за); использовать, применять
bless|благословлять
tend|заботиться, ухаживать; иметь тенденцию, склонность 
tan|загар; загорать 
complain|жаловаться; выражать недовольство 
example|пример, образец, экземпляр
basket|корзина 
super|разг. превосходный; сверх-; над- 
vault|1) архит. свод; погреб; 2) прыжок; перепрыгивать 
girlfriend|подруга; (любимая) девушка 
ability|способность
limb|конечность (руки, ноги) 
occasionally|изредка; время от времени 
tag|ярлык; этикетка; бирка; навешивать ярлык и др. 
earn|зарабатывать; earnings заработок 
seize|хватать, схватить
therefore|поэтому, следовательно 
dealer|торговец, торговый агент
companion|спутник
confusion|смущение, замешательство; беспорядок,
warehouse|склад, хранилище; оптовый магазин 
bath|ванна 
collection|собирание, сбор; коллекция 
craft|ремесло; умение, ловкость; хитрость, обман 
actor|актер, артист 
chaos|хаос, полный беспорядок
rod|прут; стержень 
occupy|занимать (место, должность, и т.п.); оккупировать 
sack|мешок; (редко) класть в мешок; выгонять с работы 
suicide|самоубийство
funeral|похороны; похоронный 
lesson|урок 
ginger|разг. приподнятое настроение; рыжеволосый (человек) 
gin|джин 
prevent|предотвращать; предупреждать; препятствовать 
occasion|случай; событие; повод 
meanwhile|(= meantime)тем временем 
chili|острый перец 
fur|мех 
garbage|отбросы; мусор
tangle|путаница; спутывать(ся), запутывать(ся) 
peek|1) взгляд украдкой; взглянутьь; 2) амер. писк; пищать 
rape|изнасилование; изнасиловать 
ram|баран; воен. таран; таранить; вдалбливать 
social|общественный, социальный 
ordinary|обычный
modern|современный 
lion|лев  
agreement|согласие; соглашение, договор 
homicide|юр. убийство
thump|тяжелый удар (кулаком); наносить тяжелый удар 
division|деление; распределение; отдел, раздел; отделение 
laboratory|лаборатория
horrify|ужасать, страшить 
spike|острие, шип; пронзать; прибивать гвоздями и др. 
sixteen|шестнадцать 
previous|предыдущий 
rumour|бр. = rumor ам. (1:8) слух, молва; распространять слухи
resist|сопротивляться 
notebook|тетрадь, блокнот
benefit|выгода, польза 
slug|1) слизняк; лентяй; лениться; 2) пуля; жетон; стрелять; 3) удар; разочарование; сильно бить
debris|осколки, обломки; остатки; развалины 
solve|решать, разрешать (проблему, задачу); объяснить; выполнять 
journey|поездка; путешествие
retire|удаляться, уходить; оставлять должность 
chop|удар (рубящий); рубить
trooper|воен. десантник; танкист; кавалерист 
possess|владеть, обладать
permit|разрешение, лицензия, пропуск; разрешать, позволять 
sugar|сахар 
conscious|сознающий, понимающий; находящ. в сознании 
rig|1) приспособление; оснащать; 2) разг. проделка; дейст. нечестно; 3) диал. распутница; распутничать
football|футбол 
mob|толпа, сборище 
hunch|горб; горбить(ся), сутулить(ся) 
lone|одинокий; уединенный 
excellent|превосходный, отличный 
pose|поза; позировать; ставить (вопрос); создавать (проблему)
atmosphere|атмосфера
available|имеющийся; наличный, доступный; (при)годный
apologize|извиняться
snort|фыркать; пыхтеть 
international|международный 
sexual|половой, сексуальный
highly|очень, весьма, чрезвычайно; высоко 
drape|украшать тканями; драпировать 
pavement|тротуар; амер. мостовая 
lighter|зажигалка; запал 
cuff|манжета, обшлаг; сокр. наручники; надеть наручники
boyfriend|друг, приятель (девушки)
bind (bound; bound )|связывать; привязывать; повязывать; переплетать
plead|просить, умолять
sting (stung; stung )|жалить; мучить, терзать; жало; укус
loom|неясные очертания, мираж; неясно вырисовываться
responsible|ответственный (перед кем-л.; за что-л.) 
assignment|назначение;
express|1) выражать; 2) определенный; срочный 
defeat|поражение; крушение; побеждать; разрушать 
underground|метро; подземный; под землей
custom|обычай; привычка; ~s таможня
